"","word","category","lexical_class"
"655","wanna","helping_verbs","function_words"
"656","was","helping_verbs","function_words"
"657","were","helping_verbs","function_words"
"658","will","helping_verbs","function_words"
"659","would","helping_verbs","function_words"
"660","and","connecting_words","function_words"
"661","because","connecting_words","function_words"
"662","but","connecting_words","function_words"
"663","if","connecting_words","function_words"
"664","so","connecting_words","function_words"
"665","then","connecting_words","function_words"
