,word,category,lexical_class,period0,period1,period2,period3,period4,period5,period6,period7,period8,period9,period10
556,wind,outside,nouns,0.12237288822468959,0.13680300042033194,0.12168805468827486,0.08236102713271976,0.15123082865029575,0.10213013398461043,0.14150877501815556,0.13745813463863574,0.17189679369330407,0.13454208681359886,0.13791599087417125
557,aunt,people,nouns,0.16742080439709955,0.10285836675514777,0.23222950994968414,0.11748981885612012,0.21632897726407177,0.11251897024922072,0.2291479344038587,0.0,0.20033317171037196,0.32835551984608174,0.24912523962557315
558,baby,people,nouns,0.2856957480311394,0.24143548427443756,0.17929610088467599,0.2149000857025385,0.2676077548414469,0.18165003024041654,0.19832847137004136,0.17737085968255997,0.2568912323564291,0.24950648956000804,0.22951177544891835
559,babysitter,people,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560,babysitter's_name,people,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,boy,people,nouns,0.15445962587469503,0.1783728152513504,0.1522884279023856,0.1421321181114763,0.14340947694145142,0.14172664391808212,0.19924289584159852,0.15691232210956513,0.20406371131539344,0.18638878902420403,0.24994987826794385
562,brother,people,nouns,0.27064426914837797,0.18478745482861997,0.17405106980974475,0.15494769462384284,0.15422514473137103,0.20508769311402975,0.27220526451710614,0.24605433652177452,0.22203714233872138,0.34683942021802067,0.3155223896726966
563,child,people,nouns,0.16979736521055824,0.14246334433555602,0.1435674282869226,0.1660181602463126,0.1545218225372465,0.1530687349848449,0.18321195656531736,0.1918881293386221,0.1054375410079956,0.10104980347678065,0.1383380362764001
564,clown,people,nouns,0.12005014469226201,0.18677683565765618,0.14925683438777923,0.17673227014510254,0.15392082510516047,0.1526445744559169,0.2299542933702469,0.12444612430408597,0.1481407548300922,0.14842144278809427,0.08253013947978616
565,cowboy,people,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,daddy*,people,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
567,doctor,people,nouns,0.11458864063024521,0.1490496274549514,0.12773012267425657,0.16739737726747989,0.1858303810004145,0.1372045762836933,0.17818547922529673,0.11970628015697002,0.157737847417593,0.16081619849428536,0.16643603714182972
568,fireman,people,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569,friend,people,nouns,0.22483723037876188,0.20415431447327137,0.2918856030330062,0.2284345543012023,0.23041637241840363,0.17462473856285216,0.34797859862446784,0.283983251824975,0.22476345065392947,0.23082159273326397,0.3219034904614091
570,girl,people,nouns,0.16777984895988515,0.16910720691084863,0.1365253931377083,0.1417054681573063,0.14157504639588298,0.1367885446641594,0.1883565416559577,0.15773827633820475,0.22989424411207438,0.273631289228797,0.25320559814572335
571,grandma*,people,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572,grandpa*,people,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
573,lady,people,nouns,0.13185448944568634,0.10690052856348063,0.17331316377967595,0.15644775821190132,0.14369217846542598,0.14521958999749687,0.165338876510137,0.14012338547036052,0.1647470849333331,0.10934344884988509,0.17033578725531698
574,mailman,people,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
575,man,people,nouns,0.14830808145435234,0.16533535150811077,0.14786773519590496,0.15374912563711404,0.1334587113931775,0.10889708455651999,0.1447284179739654,0.1646570747718215,0.16168202087283134,0.1533216699026525,0.2455288498662412
576,mommy*,people,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577,nurse,people,nouns,0.08007445196179967,0.09029294903341092,0.07476508566178382,0.06302828351035714,0.09560292894020676,0.08878748891875148,0.1426090397136776,0.08479509158059954,0.0688742042053491,0.10146196158602834,0.1108185229357332
578,child's_own_name,people,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
579,people,people,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,person,people,nouns,0.13932199468836187,0.07248455300731094,0.1717315656378081,0.10725244279536936,0.13680622344836593,0.13844132246939758,0.16587517969310284,0.11009119302034379,0.14714429061859846,0.1527216005090036,0.14807485807687043
581,pet's_name,people,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582,police,people,nouns,0.12846834026277065,0.11875879323404086,0.14201959921047091,0.14223406175151468,0.19186029001139104,0.09815006693334956,0.1503849715460092,0.09102983181364835,0.16672398932278157,0.1523095840588212,0.1634907159022987
583,sister,people,nouns,0.1734868089031232,0.18031124961562456,0.11977203269489109,0.1704776224680245,0.09320395104587079,0.07522163009271025,0.2889060778543353,0.2264603332616389,0.14661975055933,0.3844953916966915,0.3212899522390217
584,teacher,people,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,uncle,people,nouns,0.11636878337178912,0.1611228196048423,0.2801816679537296,0.0,0.2032386007669725,0.0,0.15629423041827978,0.0,0.17581244818866254,0.30739967450499533,0.2176814175357944
586,beach,places,nouns,0.1494174102321267,0.19149680826812981,0.17467485517263412,0.2059146365837047,0.1740447251420272,0.24054434522986412,0.19390583136364034,0.15647519077174366,0.17908007353544236,0.14181721872753567,0.22477763127535583
587,camping,places,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588,church*,places,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,circus,places,nouns,0.08908901191674747,0.09669761634186695,0.142704470269382,0.11457258686423302,0.13204892107138508,0.09955334016639325,0.17322285110130906,0.1254790596663952,0.13191367089748382,0.10206952901851189,0.15758589254692196
590,country,places,nouns,0.0,0.06351300162312232,0.0,0.06229666383005679,0.0,0.0,0.13518925085663797,0.12220115130767226,0.08001898817325893,0.12192391008138656,0.16358363647013902
591,downtown,places,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09142932565882803
592,farm,places,nouns,0.17186009585857392,0.1081878487020731,0.12242712527513504,0.10295532159507274,0.175702702999115,0.11217979653738439,0.21145014092326164,0.16173093354231433,0.1735780236000816,0.16292118690907956,0.19186117593199015
593,gas_station,places,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,home,places,nouns,0.14032994583249092,0.19624661803245544,0.1982895139604807,0.17945536989718675,0.19243806675076486,0.2117312127038052,0.1787387326359749,0.18272301889955997,0.1594666685712965,0.20956390164792538,0.16867766622453928
595,house,places,nouns,0.22145113488659263,0.20307871385624535,0.18634145185351372,0.22285076957195998,0.23078195117413997,0.1914861491881311,0.2377114594914019,0.2044798876158893,0.22441139713757569,0.16093362672254444,0.2199541825801134
596,movie,places,nouns,0.11046827042146641,0.0,0.1282637096941471,0.11808300744742155,0.11914740512637716,0.1738777093589306,0.15710552252436938,0.14908171109855176,0.17051958944648504,0.1577722927555442,0.17129497565329074
597,outside,places,nouns,0.11820560414344072,0.15493396538145401,0.14671530947089195,0.15742991268634796,0.2021889186611301,0.19186902563605043,0.14124194411560892,0.19757695358834768,0.1365155216306448,0.12042873166501522,0.17215580474585296
598,park,places,nouns,0.15668841768056155,0.22356655523180963,0.22184844631701708,0.23753817416727543,0.24950225576758384,0.22239542305469512,0.24577291525508227,0.22095490861684083,0.22424255218356848,0.1974653484299779,0.24873937852680683
599,party,places,nouns,0.06287994673475623,0.12305807564407586,0.08265968143112129,0.09403719596172634,0.13733520675450564,0.11592197065290652,0.11604150347411632,0.10757095627486706,0.0950708934571594,0.10700131859630346,0.1209519850090146
600,picnic,places,nouns,0.16218567192554473,0.11583473925527774,0.1587159965187311,0.22048773281276227,0.142664583818987,0.1425351051406728,0.1227179849030156,0.16740770883073933,0.12971414853301313,0.11009616814553738,0.10999490576796234
601,playground,places,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,school,places,nouns,0.17950873309746385,0.19019407499581575,0.09775736536830663,0.1323096450222166,0.15775887817144393,0.16613025590777397,0.17469567004591227,0.1393471060222701,0.153687878658897,0.1787602461874485,0.20770755130797625
603,store,places,nouns,0.1701386167667806,0.24410325661301613,0.13668519407510757,0.1298413859680295,0.24306560587137938,0.20474718008190393,0.2166311914101243,0.172525051360329,0.16111705247312785,0.18317366901196933,0.2310050455853343
604,woods,places,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,work_(place),places,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,yard,places,nouns,0.11537493608499828,0.09519143588840961,0.08595137984344833,0.1103012539250286,0.15346268338984564,0.14293332658708097,0.17398951640352606,0.10873680282384157,0.1519328135997057,0.13068131697364152,0.13651385991589018
607,zoo,places,nouns,0.18957412373274565,0.11774155492894352,0.208587331045419,0.1804931078106165,0.21252495148464254,0.17729334631248525,0.23099831510335206,0.20225883945822715,0.13817938296124338,0.18251238958910107,0.2093751123175025
608,he,pronouns,nouns,0.1717140498129945,0.27685251283018214,0.2707487713545561,0.301158889539932,0.30731811448931695,0.26256652511656287,0.30311295464634896,0.28219647258520125,0.3328602470457554,0.23575632597662902,0.33163261311128733
609,her,pronouns,nouns,0.27245831365386647,0.26893232446163895,0.23369628592933478,0.2688270669430494,0.26629578675094406,0.23228677166625858,0.29629677534103394,0.21546313520520927,0.22624004650861024,0.2633433435112238,0.31779440430303413
610,hers,pronouns,nouns,0.11311256797298004,0.13504062686115503,0.0,0.1143185969834265,0.11996606766785446,0.1603963991725131,0.16572110256866404,0.1594429553339356,0.13418267220258712,0.1206073227028052,0.112583689391613
611,him,pronouns,nouns,0.1964781315703141,0.19782046071792903,0.24787052446290067,0.30366721906160055,0.24509675643945994,0.23247411102056503,0.19576216042041777,0.2643998548388481,0.24423716392587214,0.22859812508288183,0.28094447776675224
